ORF Complex
YBR091C mitochondrial_inner_membrane_protein_insertion_complex
YOR297C mitochondrial_inner_membrane_protein_insertion_complex
YDL217C mitochondrial_inner_membrane_protein_insertion_complex
YJL054W mitochondrial_inner_membrane_protein_insertion_complex
YGL195W Gcn1p/Gcn20p_complex
YFR009W Gcn1p/Gcn20p_complex
YJL053W retromer_complex
YOR132W retromer_complex
YHR012W retromer_complex
YJL154C retromer_complex
YOR069W retromer_complex
YGL223C Golgi_transport_complex
YGR120C Golgi_transport_complex
YER157W Golgi_transport_complex
YPR105C Golgi_transport_complex
YNL051W Golgi_transport_complex
YNL041C Golgi_transport_complex
YGL005C Golgi_transport_complex
YML071C Golgi_transport_complex
YGR098C Esp1p/Pds1p_complex
YDR113C Esp1p/Pds1p_complex
YGR238C Kel1p/Kel2p/Lte1p_complex
YHR158C Kel1p/Kel2p/Lte1p_complex
YAL024C Kel1p/Kel2p/Lte1p_complex
YBR009C Nucleosomal_protein_complex
YNL030W Nucleosomal_protein_complex
YBR010W Nucleosomal_protein_complex
YNL031C Nucleosomal_protein_complex
YDR225W Nucleosomal_protein_complex
YBL003C Nucleosomal_protein_complex
YDR224C Nucleosomal_protein_complex
YBL002W Nucleosomal_protein_complex
YGL020C GET_complex
YER083C GET_complex
YDL100C GET_complex
YBR160W Cdc28p/Cln2p_complex
YPL256C Cdc28p/Cln2p_complex
YJR063W DNA-directed_RNA_polymerase_I_complex
YPR010C DNA-directed_RNA_polymerase_I_complex
YDR156W DNA-directed_RNA_polymerase_I_complex
YOR341W DNA-directed_RNA_polymerase_I_complex
YJL148W DNA-directed_RNA_polymerase_I_complex
YOR340C DNA-directed_RNA_polymerase_I_complex
YNL248C DNA-directed_RNA_polymerase_I_complex
YOR210W DNA-directed_RNA_polymerase_I_complex
YBR154C DNA-directed_RNA_polymerase_I_complex
YOR224C DNA-directed_RNA_polymerase_I_complex
YHR143W-A DNA-directed_RNA_polymerase_I_complex
YNL113W DNA-directed_RNA_polymerase_I_complex
YPR110C DNA-directed_RNA_polymerase_I_complex
YPR187W DNA-directed_RNA_polymerase_I_complex
