from	to	weight
subgroup_36	subgroup_106	-0.12300000000000001
subgroup_36	subgroup_107	-0.09300000000000001
subgroup_37	subgroup_38	-0.22699999999999998
subgroup_37	subgroup_40	-0.12800000000000003
subgroup_37	subgroup_91	-0.12999999999999998
subgroup_37	subgroup_100	-0.4306268656716418
subgroup_38	subgroup_39	-0.325
subgroup_38	subgroup_40	-0.182
subgroup_38	subgroup_50	-0.2651458333333333
subgroup_38	subgroup_72	-0.17163025210084026
subgroup_38	subgroup_77	0.053000000000000005
subgroup_38	subgroup_100	-0.6545694444444444
subgroup_38	subgroup_106	-0.12705555555555562
subgroup_38	subgroup_107	-0.16899999999999998
subgroup_38	subgroup_113	-0.122
subgroup_39	subgroup_55	-0.835
subgroup_39	subgroup_72	-0.12630434782608693
subgroup_39	subgroup_77	-0.48300000000000004
subgroup_39	subgroup_84	-0.116
subgroup_39	subgroup_100	-0.11500000000000002
subgroup_39	subgroup_106	-0.16
subgroup_39	subgroup_114	-0.185
subgroup_39	subgroup_129	-0.6759999999999998
subgroup_40	subgroup_50	-0.28207029702970304
subgroup_40	subgroup_54	-0.107
subgroup_40	subgroup_55	-0.07200000000000002
subgroup_40	subgroup_57	-0.14
subgroup_40	subgroup_58	-0.14800000000000002
subgroup_40	subgroup_77	-0.2026666666666667
subgroup_40	subgroup_81	-0.081
subgroup_40	subgroup_96	-0.278
subgroup_40	subgroup_100	-0.25474066797642436
subgroup_40	subgroup_106	-0.091
subgroup_40	subgroup_108	-0.096
subgroup_40	subgroup_119	-0.069
subgroup_40	subgroup_127	-0.11
subgroup_41	subgroup_42	0.336
subgroup_41	subgroup_132	-0.07
subgroup_42	subgroup_130	-0.17300000000000001
subgroup_42	subgroup_131	0.054000000000000006
subgroup_43	subgroup_82	0.07
subgroup_43	subgroup_137	-0.07200000000000001
subgroup_44	subgroup_48	-0.069
subgroup_44	subgroup_81	-0.34
subgroup_44	subgroup_98	-0.07200000000000001
subgroup_45	subgroup_120	-0.105
subgroup_46	subgroup_130	-0.092
subgroup_46	subgroup_131	-0.084
subgroup_46	subgroup_132	-0.131
subgroup_47	subgroup_52	0.10800000000000003
subgroup_47	subgroup_55	0.07000000000000002
subgroup_47	subgroup_60	-0.07200000000000001
subgroup_47	subgroup_76	0.081
subgroup_47	subgroup_81	-0.065
subgroup_47	subgroup_93	-0.078
subgroup_47	subgroup_96	-0.07
subgroup_47	subgroup_132	-0.147
subgroup_47	subgroup_134	0.06600000000000002
subgroup_47	subgroup_136	0.071
subgroup_48	subgroup_52	-0.226
subgroup_48	subgroup_81	0.17433333333333334
subgroup_48	subgroup_85	-0.098
subgroup_48	subgroup_93	-0.117
subgroup_48	subgroup_134	0.114
subgroup_49	subgroup_104	0.156
subgroup_50	subgroup_51	0.053
subgroup_50	subgroup_54	0.069
subgroup_50	subgroup_55	-0.08153888888888887
subgroup_50	subgroup_56	0.221
subgroup_50	subgroup_57	-0.081
subgroup_50	subgroup_58	0.07200000000000001
subgroup_50	subgroup_60	0.057999999999999996
subgroup_50	subgroup_61	-0.07
subgroup_50	subgroup_72	-0.12283636363636362
subgroup_50	subgroup_77	-0.32706223175965676
subgroup_50	subgroup_88	-0.067
subgroup_50	subgroup_91	0.077
subgroup_50	subgroup_94	-0.209
subgroup_50	subgroup_100	-0.31741958967571143
subgroup_50	subgroup_106	-0.12696330275229356
subgroup_50	subgroup_107	0.07900000000000001
subgroup_50	subgroup_118	-0.2961
subgroup_50	subgroup_119	-0.09000000000000001
subgroup_50	subgroup_123	-0.08800000000000001
subgroup_50	subgroup_127	0.11492307692307692
subgroup_50	subgroup_134	-0.098
subgroup_50	subgroup_135	-0.065
subgroup_51	subgroup_72	-0.07400000000000001
subgroup_51	subgroup_123	0.059000000000000004
subgroup_52	subgroup_93	0.07400000000000001
subgroup_52	subgroup_96	-0.12
subgroup_52	subgroup_132	0.066
subgroup_52	subgroup_134	-0.2998571428571429
subgroup_53	subgroup_72	-0.1895161290322581
subgroup_54	subgroup_56	-0.161
subgroup_54	subgroup_59	-0.08800000000000001
subgroup_54	subgroup_60	-0.10200000000000001
subgroup_54	subgroup_66	0.14028571428571432
subgroup_54	subgroup_95	-0.09300000000000001
subgroup_54	subgroup_104	0.192
subgroup_54	subgroup_107	-0.05499999999999999
subgroup_54	subgroup_118	-0.008500000000000004
subgroup_55	subgroup_79	-0.6609999999999999
subgroup_55	subgroup_100	-0.128
subgroup_55	subgroup_106	-0.15422535211267607
