orf	name	type	betw
YAL060W	BDH1	S	0.00131
YAL061W	BDH2	S	0.00036
YAL062W	GDH3	S	0.00061
YAL063C	FLO9	S	0.00019
YAL063C-A	YAL063C-A	S	1e-05
YAL064C-A	TDA8	S	2e-05
YAL064W-B	YAL064W-B	S	0.00026
YAL065C	YAL065C	S	1e-05
YAL067C	SEO1	S	8e-05
YAL068C	PAU8	S	0.00051
YAR002W	NUP60	S	0.0
YAR009C	YAR009C	S	0.00669
YAR010C	YAR010C	S	0.0
YAR015W	ADE1	S	0.0
YAR018C	KIN3	S	2e-05
YAR019C	CDC15	S	8e-05
YAR023C	YAR023C	S	6e-05
YAR027W	UIP3	S	0.00105
YAR028W	YAR028W	S	0.0
YAR029W	YAR029W	S	0.00015
YAR031W	PRM9	S	2e-05
YAR035W	YAT1	S	0.00335
YAR050W	FLO1	S	6e-05
YAR064W	YAR064W	S	0.0002
YAR066W	YAR066W	S	0.00075
YAR068W	YAR068W	S	4e-05
YAR071W	PHO11	S	0.0
YBL001C	ECM15	S	0.0
YBL004W	UTP20	S	0.00017
YBL005W	PDR3	S	1e-05
YBL005W-A	YBL005W-A	S	8e-05
YBL005W-B	YBL005W-B	S	0.00011
YBL008W-A	YBL008W-A	S	8e-05
YBL009W	ALK2	S	0.0
YBL010C	YBL010C	S	8e-05
YBL011W	SCT1	S	0.00023
YBL013W	FMT1	S	0.0
YBL015W	ACH1	S	2e-05
YBL017C	PEP1	S	5e-05
YBL019W	APN2	S	1e-05
YBL020W	RFT1	S	0.0
YBL022C	PIM1	S	1e-05
YBL024W	NCL1	S	5e-05
YBL028C	YBL028C	S	7e-05
YBL029C-A	YBL029C-A	S	4e-05
YBL029W	YBL029W	S	0.0
YBL030C	PET9	S	0.00618
YBL031W	SHE1	S	0.0
YBL032W	HEK2	S	4e-05
YBL033C	RIB1	S	0.00043
YBL034C	STU1	S	3e-05
YBL036C	YBL036C	S	8e-05
YBL039C	URA7	S	1e-05
YBL039W-B	YBL039W-B	S	0.0002
YBL040C	ERD2	S	0.00019
YBL042C	FUI1	S	3e-05
YBL043W	ECM13	S	0.0
YBL044W	YBL044W	S	0.00096
YBL047C	EDE1	S	1e-05
YBL049W	MOH1	S	0.00014
YBL050W	SEC17	S	1e-05
YBL051C	PIN4	S	0.0
YBL054W	TOD6	S	0.00034
YBL055C	YBL055C	S	0.0
YBL056W	PTC3	S	0.0
YBL057C	PTH2	S	1e-05
